"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"SA","Public health","Non-government","Individuals",0,2003
"SA","Public health","Non-government","Other non-government",8,2003
"SA","Public hospitals","Government","Australian Government",992,2003
"SA","Public hospitals","Government","State and local",1018,2003
"SA","Public hospitals","Non-government","Individuals",17,2003
"SA","Public hospitals","Non-government","Other non-government",18,2003
"SA","Public hospitals","Non-government","Private health insurance funds",37,2003
"SA","Research","Government","Australian Government",143,2003
"SA","Research","Government","State and local",19,2003
"SA","Research","Non-government","Other non-government",9,2003
"TAS","Administration","Government","Australian Government",45,2003
"TAS","Administration","Government","State and local",50,2003
"TAS","Administration","Non-government","Private health insurance funds",23,2003
"TAS","Aids and appliances","Government","Australian Government",6,2003
"TAS","Aids and appliances","Non-government","Individuals",38,2003
"TAS","Aids and appliances","Non-government","Other non-government",2,2003
"TAS","Aids and appliances","Non-government","Private health insurance funds",7,2003
"TAS","All other medications","Government","Australian Government",6,2003
"TAS","All other medications","Non-government","Individuals",81,2003
"TAS","All other medications","Non-government","Other non-government",1,2003
"TAS","All other medications","Non-government","Private health insurance funds",2,2003
"TAS","Benefit-paid pharmaceuticals","Government","Australian Government",158,2003
"TAS","Benefit-paid pharmaceuticals","Non-government","Individuals",27,2003
"TAS","Capital expenditure","Government","Australian Government",5,2003
"TAS","Capital expenditure","Government","State and local",21,2003
"TAS","Capital expenditure","Non-government","Other non-government",61,2003
"TAS","Community health","Government","Australian Government",11,2003
"TAS","Community health","Government","State and local",82,2003
"TAS","Community health","Non-government","Individuals",8,2003
"TAS","Community health","Non-government","Other non-government",2,2003
"TAS","Community health","Non-government","Private health insurance funds",0,2003
"TAS","Dental services","Government","Australian Government",10,2003
"TAS","Dental services","Government","State and local",12,2003
"TAS","Dental services","Non-government","Individuals",58,2003
"TAS","Dental services","Non-government","Other non-government",0,2003
"TAS","Dental services","Non-government","Private health insurance funds",20,2003
"TAS","Medical expense tax rebate","Government","Australian Government",4,2003
"TAS","Medical expense tax rebate","Non-government","Individuals",-4,2003
"TAS","Medical services","Government","Australian Government",297,2003
"TAS","Medical services","Non-government","Individuals",42,2003
"TAS","Medical services","Non-government","Other non-government",16,2003
"TAS","Medical services","Non-government","Private health insurance funds",17,2003
"TAS","Other health practitioners","Government","Australian Government",22,2003
"TAS","Other health practitioners","Non-government","Individuals",31,2003
"TAS","Other health practitioners","Non-government","Other non-government",9,2003
"TAS","Other health practitioners","Non-government","Private health insurance funds",10,2003
"TAS","Patient transport services","Government","Australian Government",3,2003
"TAS","Patient transport services","Government","State and local",25,2003
"TAS","Patient transport services","Non-government","Individuals",0,2003
"TAS","Patient transport services","Non-government","Other non-government",2,2003
"TAS","Patient transport services","Non-government","Private health insurance funds",0,2003
"TAS","Private hospitals","Government","Australian Government",74,2003
"TAS","Private hospitals","Government","State and local",24,2003
"TAS","Private hospitals","Non-government","Individuals",9,2003
"TAS","Private hospitals","Non-government","Other non-government",12,2003
"TAS","Private hospitals","Non-government","Private health insurance funds",103,2003
"TAS","Public health","Government","Australian Government",28,2003
"TAS","Public health","Government","State and local",23,2003
"TAS","Public health","Non-government","Individuals",0,2003
"TAS","Public health","Non-government","Other non-government",3,2003
"TAS","Public hospitals","Government","Australian Government",262,2003
"TAS","Public hospitals","Government","State and local",208,2003
"TAS","Public hospitals","Non-government","Individuals",1,2003
"TAS","Public hospitals","Non-government","Other non-government",29,2003
"TAS","Public hospitals","Non-government","Private health insurance funds",10,2003
"TAS","Research","Government","Australian Government",33,2003
"TAS","Research","Government","State and local",7,2003
"TAS","Research","Non-government","Other non-government",1,2003
"ACT","Administration","Government","Australian Government",64,2003
"ACT","Administration","Government","State and local",50,2003
"ACT","Administration","Non-government","Private health insurance funds",11,2003
"ACT","Aids and appliances","Government","Australian Government",4,2003
"ACT","Aids and appliances","Non-government","Individuals",18,2003
"ACT","Aids and appliances","Non-government","Other non-government",1,2003
"ACT","Aids and appliances","Non-government","Private health insurance funds",4,2003
"ACT","All other medications","Government","Australian Government",3,2003
"ACT","All other medications","Non-government","Individuals",40,2003
"ACT","All other medications","Non-government","Other non-government",1,2003
"ACT","All other medications","Non-government","Private health insurance funds",1,2003
"ACT","Benefit-paid pharmaceuticals","Government","Australian Government",73,2003
"ACT","Benefit-paid pharmaceuticals","Non-government","Individuals",18,2003
"ACT","Capital expenditure","Government","Australian Government",3,2003
"ACT","Capital expenditure","Government","State and local",21,2003
"ACT","Capital expenditure","Non-government","Other non-government",39,2003
"ACT","Community health","Government","Australian Government",5,2003
"ACT","Community health","Government","State and local",129,2003
"ACT","Community health","Non-government","Individuals",7,2003
"ACT","Community health","Non-government","Other non-government",9,2003
"ACT","Community health","Non-government","Private health insurance funds",0,2003
"ACT","Dental services","Government","Australian Government",9,2003
"ACT","Dental services","Government","State and local",9,2003
"ACT","Dental services","Non-government","Individuals",69,2003
"ACT","Dental services","Non-government","Other non-government",1,2003
"ACT","Dental services","Non-government","Private health insurance funds",19,2003
"ACT","Medical expense tax rebate","Government","Australian Government",11,2003
"ACT","Medical expense tax rebate","Non-government","Individuals",-11,2003
"ACT","Medical services","Government","Australian Government",216,2003
"ACT","Medical services","Non-government","Individuals",68,2003
"ACT","Medical services","Non-government","Other non-government",11,2003
"ACT","Medical services","Non-government","Private health insurance funds",8,2003
"ACT","Other health practitioners","Government","Australian Government",20,2003
"ACT","Other health practitioners","Non-government","Individuals",37,2003
"ACT","Other health practitioners","Non-government","Other non-government",7,2003
"ACT","Other health practitioners","Non-government","Private health insurance funds",7,2003
"ACT","Patient transport services","Government","Australian Government",4,2003
"ACT","Patient transport services","Government","State and local",0,2003
"ACT","Patient transport services","Non-government","Individuals",0,2003
"ACT","Patient transport services","Non-government","Other non-government",2,2003
"ACT","Patient transport services","Non-government","Private health insurance funds",9,2003
"ACT","Private hospitals","Government","Australian Government",32,2003
"ACT","Private hospitals","Government","State and local",0,2003
"ACT","Private hospitals","Non-government","Individuals",28,2003
"ACT","Private hospitals","Non-government","Other non-government",8,2003
"ACT","Private hospitals","Non-government","Private health insurance funds",44,2003
"ACT","Public health","Government","Australian Government",19,2003
"ACT","Public health","Government","State and local",23,2003
"ACT","Public health","Non-government","Individuals",2,2003
"ACT","Public health","Non-government","Other non-government",5,2003
"ACT","Public hospitals","Government","Australian Government",159,2003
"ACT","Public hospitals","Government","State and local",272,2003
"ACT","Public hospitals","Non-government","Individuals",8,2003
"ACT","Public hospitals","Non-government","Other non-government",31,2003
"ACT","Public hospitals","Non-government","Private health insurance funds",7,2003
"ACT","Research","Government","Australian Government",133,2003
"ACT","Research","Government","State and local",16,2003
"ACT","Research","Non-government","Other non-government",7,2003
"NT","Administration","Government","Australian Government",22,2003
"NT","Administration","Government","State and local",32,2003
"NT","Administration","Non-government","Private health insurance funds",1,2003
"NT","Aids and appliances","Government","Australian Government",2,2003
"NT","Aids and appliances","Non-government","Individuals",12,2003
"NT","Aids and appliances","Non-government","Other non-government",0,2003
"NT","Aids and appliances","Non-government","Private health insurance funds",2,2003
"NT","All other medications","Government","Australian Government",4,2003
"NT","All other medications","Non-government","Individuals",19,2003
"NT","All other medications","Non-government","Other non-government",0,2003
"NT","All other medications","Non-government","Private health insurance funds",0,2003
"NT","Benefit-paid pharmaceuticals","Government","Australian Government",30,2003
"NT","Benefit-paid pharmaceuticals","Non-government","Individuals",5,2003
"NT","Capital expenditure","Government","Australian Government",6,2003
"NT","Capital expenditure","Government","State and local",13,2003
"NT","Capital expenditure","Non-government","Other non-government",14,2003
"NT","Community health","Government","Australian Government",73,2003
"NT","Community health","Government","State and local",132,2003
"NT","Community health","Non-government","Individuals",0,2003
"NT","Community health","Non-government","Other non-government",0,2003
"NT","Community health","Non-government","Private health insurance funds",0,2003
"NT","Dental services","Government","Australian Government",2,2003
"NT","Dental services","Government","State and local",10,2003
"NT","Dental services","Non-government","Individuals",41,2003
"NT","Dental services","Non-government","Other non-government",0,2003
"NT","Dental services","Non-government","Private health insurance funds",4,2003
"NT","Medical expense tax rebate","Government","Australian Government",1,2003
"NT","Medical expense tax rebate","Non-government","Individuals",-1,2003
"NT","Medical services","Government","Australian Government",69,2003
"NT","Medical services","Non-government","Individuals",10,2003
"NT","Medical services","Non-government","Other non-government",11,2003
"NT","Medical services","Non-government","Private health insurance funds",3,2003
"NT","Other health practitioners","Government","Australian Government",6,2003
"NT","Other health practitioners","Non-government","Individuals",17,2003
"NT","Other health practitioners","Non-government","Other non-government",4,2003
"NT","Other health practitioners","Non-government","Private health insurance funds",2,2003
"NT","Patient transport services","Government","Australian Government",5,2003
"NT","Patient transport services","Government","State and local",35,2003
"NT","Patient transport services","Non-government","Individuals",1,2003
"NT","Patient transport services","Non-government","Other non-government",0,2003
"NT","Patient transport services","Non-government","Private health insurance funds",0,2003
"NT","Private hospitals","Government","Australian Government",8,2003
"NT","Private hospitals","Government","State and local",0,2003
"NT","Private hospitals","Non-government","Individuals",17,2003
"NT","Private hospitals","Non-government","Other non-government",4,2003
"NT","Private hospitals","Non-government","Private health insurance funds",16,2003
"NT","Public health","Government","Australian Government",18,2003
"NT","Public health","Government","State and local",48,2003
"NT","Public health","Non-government","Individuals",0,2003
"NT","Public health","Non-government","Other non-government",4,2003
"NT","Public hospitals","Government","Australian Government",128,2003
"NT","Public hospitals","Government","State and local",269,2003
"NT","Public hospitals","Non-government","Individuals",1,2003
"NT","Public hospitals","Non-government","Other non-government",5,2003
"NT","Public hospitals","Non-government","Private health insurance funds",1,2003
"NT","Research","Government","Australian Government",11,2003
"NT","Research","Government","State and local",2,2003
"NT","Research","Non-government","Other non-government",1,2003
"NSW","Administration","Government","Australian Government",525,2004
"NSW","Administration","Government","State and local",0,2004
"NSW","Administration","Non-government","Private health insurance funds",262,2004
"NSW","Aids and appliances","Government","Australian Government",120,2004
"NSW","Aids and appliances","Non-government","Individuals",400,2004
"NSW","Aids and appliances","Non-government","Other non-government",6,2004
"NSW","Aids and appliances","Non-government","Private health insurance funds",91,2004
"NSW","All other medications","Government","Australian Government",54,2004
"NSW","All other medications","Non-government","Individuals",1243,2004
"NSW","All other medications","Non-government","Other non-government",7,2004
"NSW","All other medications","Non-government","Private health insurance funds",25,2004
"NSW","Benefit-paid pharmaceuticals","Government","Australian Government",2077,2004
"NSW","Benefit-paid pharmaceuticals","Non-government","Individuals",400,2004
"NSW","Capital expenditure","Government","Australian Government",31,2004
"NSW","Capital expenditure","Government","State and local",488,2004
"NSW","Capital expenditure","Non-government","Other non-government",604,2004
"NSW","Community health","Government","Australian Government",122,2004
"NSW","Community health","Government","State and local",1158,2004
"NSW","Community health","Non-government","Individuals",72,2004
"NSW","Community health","Non-government","Other non-government",8,2004
"NSW","Community health","Non-government","Private health insurance funds",0,2004
"NSW","Dental services","Government","Australian Government",177,2004
"NSW","Dental services","Government","State and local",175,2004
"NSW","Dental services","Non-government","Individuals",1408,2004
"NSW","Dental services","Non-government","Other non-government",2,2004
"NSW","Dental services","Non-government","Private health insurance funds",336,2004
"NSW","Medical expense tax rebate","Government","Australian Government",159,2004
"NSW","Medical expense tax rebate","Non-government","Individuals",-159,2004
"NSW","Medical services","Government","Australian Government",4886,2004
"NSW","Medical services","Non-government","Individuals",718,2004
"NSW","Medical services","Non-government","Other non-government",521,2004
"NSW","Medical services","Non-government","Private health insurance funds",206,2004
"NSW","Other health practitioners","Government","Australian Government",270,2004
"NSW","Other health practitioners","Non-government","Individuals",613,2004
"NSW","Other health practitioners","Non-government","Other non-government",122,2004
"NSW","Other health practitioners","Non-government","Private health insurance funds",160,2004
"NSW","Patient transport services","Government","Australian Government",68,2004
"NSW","Patient transport services","Government","State and local",338,2004
"NSW","Patient transport services","Non-government","Individuals",17,2004
"NSW","Patient transport services","Non-government","Other non-government",32,2004
"NSW","Patient transport services","Non-government","Private health insurance funds",89,2004
"NSW","Private hospitals","Government","Australian Government",780,2004
"NSW","Private hospitals","Government","State and local",0,2004
"NSW","Private hospitals","Non-government","Individuals",64,2004
"NSW","Private hospitals","Non-government","Other non-government",273,2004
"NSW","Private hospitals","Non-government","Private health insurance funds",1096,2004
"NSW","Public health","Government","Australian Government",361,2004
"NSW","Public health","Government","State and local",118,2004
"NSW","Public health","Non-government","Individuals",53,2004
"NSW","Public health","Non-government","Other non-government",37,2004
"NSW","Public hospitals","Government","Australian Government",4162,2004
"NSW","Public hospitals","Government","State and local",5982,2004
"NSW","Public hospitals","Non-government","Individuals",127,2004
"NSW","Public hospitals","Non-government","Other non-government",530,2004
"NSW","Public hospitals","Non-government","Private health insurance funds",255,2004
"NSW","Research","Government","Australian Government",484,2004
"NSW","Research","Government","State and local",80,2004
"NSW","Research","Non-government","Other non-government",60,2004
"VIC","Administration","Government","Australian Government",369,2004
"VIC","Administration","Government","State and local",0,2004
"VIC","Administration","Non-government","Private health insurance funds",198,2004
"VIC","Aids and appliances","Government","Australian Government",79,2004
"VIC","Aids and appliances","Non-government","Individuals",535,2004
"VIC","Aids and appliances","Non-government","Other non-government",11,2004
"VIC","Aids and appliances","Non-government","Private health insurance funds",44,2004
"VIC","All other medications","Government","Australian Government",36,2004
"VIC","All other medications","Non-government","Individuals",1065,2004
"VIC","All other medications","Non-government","Other non-government",24,2004
"VIC","All other medications","Non-government","Private health insurance funds",6,2004
"VIC","Benefit-paid pharmaceuticals","Government","Australian Government",1511,2004
"VIC","Benefit-paid pharmaceuticals","Non-government","Individuals",291,2004
"VIC","Capital expenditure","Government","Australian Government",28,2004
"VIC","Capital expenditure","Government","State and local",381,2004
"VIC","Capital expenditure","Non-government","Other non-government",696,2004
"VIC","Community health","Government","Australian Government",74,2004
"VIC","Community health","Government","State and local",711,2004
"VIC","Community health","Non-government","Individuals",0,2004
"VIC","Community health","Non-government","Other non-government",4,2004
"VIC","Community health","Non-government","Private health insurance funds",0,2004
"VIC","Dental services","Government","Australian Government",87,2004
"VIC","Dental services","Government","State and local",127,2004
"VIC","Dental services","Non-government","Individuals",1455,2004
"VIC","Dental services","Non-government","Other non-government",3,2004
"VIC","Dental services","Non-government","Private health insurance funds",160,2004
"VIC","Medical expense tax rebate","Government","Australian Government",92,2004
"VIC","Medical expense tax rebate","Non-government","Individuals",-92,2004
"VIC","Medical services","Government","Australian Government",3402,2004
"VIC","Medical services","Non-government","Individuals",440,2004
"VIC","Medical services","Non-government","Other non-government",165,2004
"VIC","Medical services","Non-government","Private health insurance funds",197,2004
"VIC","Other health practitioners","Government","Australian Government",180,2004
"VIC","Other health practitioners","Non-government","Individuals",679,2004
"VIC","Other health practitioners","Non-government","Other non-government",105,2004
"VIC","Other health practitioners","Non-government","Private health insurance funds",89,2004
"VIC","Patient transport services","Government","Australian Government",35,2004
"VIC","Patient transport services","Government","State and local",230,2004
"VIC","Patient transport services","Non-government","Individuals",112,2004
"VIC","Patient transport services","Non-government","Other non-government",29,2004
"VIC","Patient transport services","Non-government","Private health insurance funds",5,2004
"VIC","Private hospitals","Government","Australian Government",666,2004
"VIC","Private hospitals","Government","State and local",0,2004
"VIC","Private hospitals","Non-government","Individuals",61,2004
"VIC","Private hospitals","Non-government","Other non-government",194,2004
"VIC","Private hospitals","Non-government","Private health insurance funds",967,2004
"VIC","Public health","Government","Australian Government",244,2004
"VIC","Public health","Government","State and local",174,2004
"VIC","Public health","Non-government","Individuals",0,2004
"VIC","Public health","Non-government","Other non-government",25,2004
"VIC","Public hospitals","Government","Australian Government",2892,2004
"VIC","Public hospitals","Government","State and local",3334,2004
"VIC","Public hospitals","Non-government","Individuals",102,2004
"VIC","Public hospitals","Non-government","Other non-government",433,2004
"VIC","Public hospitals","Non-government","Private health insurance funds",106,2004
"VIC","Research","Government","Australian Government",535,2004
"VIC","Research","Government","State and local",119,2004
"VIC","Research","Non-government","Other non-government",80,2004
"QLD","Administration","Government","Australian Government",312,2004
"QLD","Administration","Government","State and local",59,2004
"QLD","Administration","Non-government","Private health insurance funds",174,2004
"QLD","Aids and appliances","Government","Australian Government",64,2004
"QLD","Aids and appliances","Non-government","Individuals",354,2004
"QLD","Aids and appliances","Non-government","Other non-government",4,2004
"QLD","Aids and appliances","Non-government","Private health insurance funds",46,2004
"QLD","All other medications","Government","Australian Government",33,2004
"QLD","All other medications","Non-government","Individuals",847,2004
"QLD","All other medications","Non-government","Other non-government",7,2004
"QLD","All other medications","Non-government","Private health insurance funds",12,2004
"QLD","Benefit-paid pharmaceuticals","Government","Australian Government",1150,2004
"QLD","Benefit-paid pharmaceuticals","Non-government","Individuals",222,2004
"QLD","Capital expenditure","Government","Australian Government",20,2004
"QLD","Capital expenditure","Government","State and local",399,2004
"QLD","Capital expenditure","Non-government","Other non-government",724,2004
"QLD","Community health","Government","Australian Government",101,2004
"QLD","Community health","Government","State and local",766,2004
"QLD","Community health","Non-government","Individuals",42,2004
"QLD","Community health","Non-government","Other non-government",44,2004
"QLD","Community health","Non-government","Private health insurance funds",0,2004
"QLD","Dental services","Government","Australian Government",97,2004
"QLD","Dental services","Government","State and local",156,2004
"QLD","Dental services","Non-government","Individuals",485,2004
"QLD","Dental services","Non-government","Other non-government",1,2004
"QLD","Dental services","Non-government","Private health insurance funds",171,2004
"QLD","Medical expense tax rebate","Government","Australian Government",63,2004
"QLD","Medical expense tax rebate","Non-government","Individuals",-63,2004
"QLD","Medical services","Government","Australian Government",2692,2004
"QLD","Medical services","Non-government","Individuals",396,2004
"QLD","Medical services","Non-government","Other non-government",81,2004
"QLD","Medical services","Non-government","Private health insurance funds",149,2004
"QLD","Other health practitioners","Government","Australian Government",161,2004
"QLD","Other health practitioners","Non-government","Individuals",389,2004
"QLD","Other health practitioners","Non-government","Other non-government",42,2004
"QLD","Other health practitioners","Non-government","Private health insurance funds",90,2004
"QLD","Patient transport services","Government","Australian Government",47,2004
"QLD","Patient transport services","Government","State and local",395,2004
"QLD","Patient transport services","Non-government","Individuals",7,2004
"QLD","Patient transport services","Non-government","Other non-government",15,2004
"QLD","Patient transport services","Non-government","Private health insurance funds",0,2004
"QLD","Private hospitals","Government","Australian Government",736,2004
"QLD","Private hospitals","Government","State and local",35,2004
"QLD","Private hospitals","Non-government","Individuals",86,2004
"QLD","Private hospitals","Non-government","Other non-government",109,2004
"QLD","Private hospitals","Non-government","Private health insurance funds",837,2004
"QLD","Public health","Government","Australian Government",200,2004
"QLD","Public health","Government","State and local",113,2004
"QLD","Public health","Non-government","Individuals",8,2004
"QLD","Public health","Non-government","Other non-government",21,2004
"QLD","Public hospitals","Government","Australian Government",2246,2004
"QLD","Public hospitals","Government","State and local",2189,2004
"QLD","Public hospitals","Non-government","Individuals",31,2004
"QLD","Public hospitals","Non-government","Other non-government",44,2004
"QLD","Public hospitals","Non-government","Private health insurance funds",41,2004
"QLD","Research","Government","Australian Government",241,2004
"QLD","Research","Government","State and local",34,2004
"QLD","Research","Non-government","Other non-government",17,2004
"WA","Administration","Government","Australian Government",158,2004
"WA","Administration","Government","State and local",163,2004
"WA","Administration","Non-government","Private health insurance funds",81,2004
"WA","Aids and appliances","Government","Australian Government",35,2004
"WA","Aids and appliances","Non-government","Individuals",315,2004
"WA","Aids and appliances","Non-government","Other non-government",4,2004
"WA","Aids and appliances","Non-government","Private health insurance funds",29,2004
"WA","All other medications","Government","Australian Government",15,2004
"WA","All other medications","Non-government","Individuals",353,2004
"WA","All other medications","Non-government","Other non-government",11,2004
"WA","All other medications","Non-government","Private health insurance funds",4,2004
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",517,2004
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",108,2004
"WA","Capital expenditure","Government","Australian Government",15,2004
"WA","Capital expenditure","Government","State and local",196,2004
"WA","Capital expenditure","Non-government","Other non-government",425,2004
"WA","Community health","Government","Australian Government",92,2004
"WA","Community health","Government","State and local",574,2004
"WA","Community health","Non-government","Individuals",12,2004
"WA","Community health","Non-government","Other non-government",68,2004
"WA","Community health","Non-government","Private health insurance funds",0,2004
"WA","Dental services","Government","Australian Government",55,2004
"WA","Dental services","Government","State and local",61,2004
"WA","Dental services","Non-government","Individuals",431,2004
"WA","Dental services","Non-government","Other non-government",3,2004
"WA","Dental services","Non-government","Private health insurance funds",107,2004
"WA","Medical expense tax rebate","Government","Australian Government",28,2004
"WA","Medical expense tax rebate","Non-government","Individuals",-28,2004
"WA","Medical services","Government","Australian Government",1274,2004
"WA","Medical services","Non-government","Individuals",179,2004
"WA","Medical services","Non-government","Other non-government",99,2004
"WA","Medical services","Non-government","Private health insurance funds",80,2004
"WA","Other health practitioners","Government","Australian Government",75,2004
"WA","Other health practitioners","Non-government","Individuals",64,2004
"WA","Other health practitioners","Non-government","Other non-government",24,2004
"WA","Other health practitioners","Non-government","Private health insurance funds",50,2004
"WA","Patient transport services","Government","Australian Government",23,2004
"WA","Patient transport services","Government","State and local",66,2004
"WA","Patient transport services","Non-government","Individuals",54,2004
"WA","Patient transport services","Non-government","Other non-government",6,2004
"WA","Patient transport services","Non-government","Private health insurance funds",15,2004
"WA","Private hospitals","Government","Australian Government",306,2004
"WA","Private hospitals","Government","State and local",216,2004
"WA","Private hospitals","Non-government","Individuals",31,2004
"WA","Private hospitals","Non-government","Other non-government",64,2004
"WA","Private hospitals","Non-government","Private health insurance funds",424,2004
"WA","Public health","Government","Australian Government",104,2004
"WA","Public health","Government","State and local",77,2004
"WA","Public health","Non-government","Individuals",6,2004
"WA","Public health","Non-government","Other non-government",9,2004
"WA","Public hospitals","Government","Australian Government",1215,2004
"WA","Public hospitals","Government","State and local",1333,2004
"WA","Public hospitals","Non-government","Individuals",70,2004
"WA","Public hospitals","Non-government","Other non-government",34,2004
"WA","Public hospitals","Non-government","Private health insurance funds",31,2004
"WA","Research","Government","Australian Government",171,2004
"WA","Research","Government","State and local",26,2004
"WA","Research","Non-government","Other non-government",15,2004
"SA","Administration","Government","Australian Government",133,2004
"SA","Administration","Government","State and local",265,2004
"SA","Administration","Non-government","Private health insurance funds",66,2004
"SA","Aids and appliances","Government","Australian Government",30,2004
"SA","Aids and appliances","Non-government","Individuals",147,2004
"SA","Aids and appliances","Non-government","Other non-government",7,2004
"SA","Aids and appliances","Non-government","Private health insurance funds",24,2004
"SA","All other medications","Government","Australian Government",14,2004
"SA","All other medications","Non-government","Individuals",280,2004
"SA","All other medications","Non-government","Other non-government",6,2004
"SA","All other medications","Non-government","Private health insurance funds",4,2004
"SA","Benefit-paid pharmaceuticals","Government","Australian Government",499,2004
"SA","Benefit-paid pharmaceuticals","Non-government","Individuals",93,2004
"SA","Capital expenditure","Government","Australian Government",15,2004
"SA","Capital expenditure","Government","State and local",219,2004
"SA","Capital expenditure","Non-government","Other non-government",213,2004
"SA","Community health","Government","Australian Government",57,2004
"SA","Community health","Government","State and local",360,2004
"SA","Community health","Non-government","Individuals",6,2004
"SA","Community health","Non-government","Other non-government",90,2004
"SA","Community health","Non-government","Private health insurance funds",0,2004
"SA","Dental services","Government","Australian Government",47,2004
"SA","Dental services","Government","State and local",60,2004
"SA","Dental services","Non-government","Individuals",162,2004
"SA","Dental services","Non-government","Other non-government",1,2004
"SA","Dental services","Non-government","Private health insurance funds",89,2004
"SA","Medical expense tax rebate","Government","Australian Government",19,2004
"SA","Medical expense tax rebate","Non-government","Individuals",-19,2004
"SA","Medical services","Government","Australian Government",1041,2004
"SA","Medical services","Non-government","Individuals",107,2004
"SA","Medical services","Non-government","Other non-government",109,2004
"SA","Medical services","Non-government","Private health insurance funds",72,2004
"SA","Other health practitioners","Government","Australian Government",69,2004
"SA","Other health practitioners","Non-government","Individuals",46,2004
"SA","Other health practitioners","Non-government","Other non-government",40,2004
"SA","Other health practitioners","Non-government","Private health insurance funds",51,2004
"SA","Patient transport services","Government","Australian Government",14,2004
"SA","Patient transport services","Government","State and local",69,2004
"SA","Patient transport services","Non-government","Individuals",41,2004
"SA","Patient transport services","Non-government","Other non-government",8,2004
"SA","Patient transport services","Non-government","Private health insurance funds",3,2004
"SA","Private hospitals","Government","Australian Government",192,2004
"SA","Private hospitals","Government","State and local",6,2004
"SA","Private hospitals","Non-government","Individuals",32,2004
"SA","Private hospitals","Non-government","Other non-government",28,2004
"SA","Private hospitals","Non-government","Private health insurance funds",323,2004
"SA","Public health","Government","Australian Government",88,2004
"SA","Public health","Government","State and local",60,2004
"SA","Public health","Non-government","Individuals",4,2004
"SA","Public health","Non-government","Other non-government",9,2004
"SA","Public hospitals","Government","Australian Government",1023,2004
"SA","Public hospitals","Government","State and local",1160,2004
"SA","Public hospitals","Non-government","Individuals",14,2004
"SA","Public hospitals","Non-government","Other non-government",23,2004
"SA","Public hospitals","Non-government","Private health insurance funds",39,2004
"SA","Research","Government","Australian Government",157,2004
"SA","Research","Government","State and local",22,2004
"SA","Research","Non-government","Other non-government",9,2004
"TAS","Administration","Government","Australian Government",41,2004
"TAS","Administration","Government","State and local",49,2004
"TAS","Administration","Non-government","Private health insurance funds",21,2004
"TAS","Aids and appliances","Government","Australian Government",9,2004
"TAS","Aids and appliances","Non-government","Individuals",39,2004
"TAS","Aids and appliances","Non-government","Other non-government",2,2004
"TAS","Aids and appliances","Non-government","Private health insurance funds",7,2004
"TAS","All other medications","Government","Australian Government",7,2004
"TAS","All other medications","Non-government","Individuals",89,2004
"TAS","All other medications","Non-government","Other non-government",1,2004
"TAS","All other medications","Non-government","Private health insurance funds",2,2004
"TAS","Benefit-paid pharmaceuticals","Government","Australian Government",159,2004
"TAS","Benefit-paid pharmaceuticals","Non-government","Individuals",29,2004
"TAS","Capital expenditure","Government","Australian Government",7,2004
"TAS","Capital expenditure","Government","State and local",28,2004
"TAS","Capital expenditure","Non-government","Other non-government",99,2004
"TAS","Community health","Government","Australian Government",13,2004
"TAS","Community health","Government","State and local",93,2004
"TAS","Community health","Non-government","Individuals",11,2004
"TAS","Community health","Non-government","Other non-government",2,2004
"TAS","Community health","Non-government","Private health insurance funds",0,2004
"TAS","Dental services","Government","Australian Government",10,2004
"TAS","Dental services","Government","State and local",13,2004
"TAS","Dental services","Non-government","Individuals",60,2004
"TAS","Dental services","Non-government","Other non-government",0,2004
"TAS","Dental services","Non-government","Private health insurance funds",19,2004
"TAS","Medical expense tax rebate","Government","Australian Government",4,2004
"TAS","Medical expense tax rebate","Non-government","Individuals",-4,2004
"TAS","Medical services","Government","Australian Government",312,2004
"TAS","Medical services","Non-government","Individuals",39,2004
"TAS","Medical services","Non-government","Other non-government",16,2004
"TAS","Medical services","Non-government","Private health insurance funds",17,2004
"TAS","Other health practitioners","Government","Australian Government",21,2004
"TAS","Other health practitioners","Non-government","Individuals",35,2004
"TAS","Other health practitioners","Non-government","Other non-government",9,2004
"TAS","Other health practitioners","Non-government","Private health insurance funds",10,2004
"TAS","Patient transport services","Government","Australian Government",3,2004
"TAS","Patient transport services","Government","State and local",34,2004
"TAS","Patient transport services","Non-government","Individuals",0,2004
"TAS","Patient transport services","Non-government","Other non-government",2,2004
"TAS","Patient transport services","Non-government","Private health insurance funds",0,2004
"TAS","Private hospitals","Government","Australian Government",69,2004
"TAS","Private hospitals","Government","State and local",28,2004
"TAS","Private hospitals","Non-government","Individuals",10,2004
"TAS","Private hospitals","Non-government","Other non-government",6,2004
"TAS","Private hospitals","Non-government","Private health insurance funds",99,2004
"TAS","Public health","Government","Australian Government",35,2004
"TAS","Public health","Government","State and local",18,2004
"TAS","Public health","Non-government","Individuals",0,2004
"TAS","Public health","Non-government","Other non-government",4,2004
"TAS","Public hospitals","Government","Australian Government",272,2004
"TAS","Public hospitals","Government","State and local",231,2004
"TAS","Public hospitals","Non-government","Individuals",1,2004
"TAS","Public hospitals","Non-government","Other non-government",24,2004
"TAS","Public hospitals","Non-government","Private health insurance funds",12,2004
"TAS","Research","Government","Australian Government",35,2004
"TAS","Research","Government","State and local",7,2004
